datetime,open,high,low,close,volume
2026-04-28 09:15,884.2,895.7,882.85,889.1,0
2026-04-28 10:15,889.05,894.55,888.1,889.85,360453
2026-04-28 11:15,889.65,890.5,885.8,889.75,551837
2026-04-28 12:15,890.05,895.0,890.05,892.0,1115027
2026-04-28 13:15,892.0,893.0,886.1,886.55,787455
2026-04-28 14:15,886.75,891.6,883.7,884.1,1456133
2026-04-28 15:15,884.15,888.0,882.95,885.55,496644
2026-04-29 09:15,892.15,918.1,892.15,918.1,0
2026-04-29 10:15,917.6,918.9,912.0,916.1,630262
2026-04-29 11:15,916.1,924.9,916.1,924.0,443417
2026-04-29 12:15,923.8,924.75,919.7,919.7,235162
2026-04-29 13:15,919.75,920.3,912.25,913.55,391195
2026-04-29 14:15,914.4,916.8,912.0,913.5,506459
2026-04-29 15:15,913.5,914.35,910.05,913.75,294815
2026-04-30 09:15,904.1,908.8,895.9,900.85,0
2026-04-30 10:15,900.55,908.25,900.4,907.4,441547
2026-04-30 11:15,907.45,915.9,905.9,910.1,620457
2026-04-30 12:15,909.95,915.0,909.9,912.9,276053
2026-04-30 13:15,912.7,919.35,911.55,915.5,331513
2026-04-30 14:15,915.85,919.8,913.85,915.55,669092
2026-04-30 15:15,915.65,919.9,915.2,919.9,289481
2026-05-04 09:15,928.1,942.15,928.1,935.35,0
2026-05-04 10:15,935.65,936.7,932.3,933.1,199898
2026-05-04 11:15,933.1,935.35,929.45,929.75,229378
2026-05-04 12:15,929.15,931.15,922.05,922.5,217580
2026-05-04 13:15,922.3,922.5,917.1,919.6,135041
2026-05-04 14:15,919.9,920.15,913.75,914.75,291728
2026-05-04 15:15,914.95,915.35,911.15,913.9,297074
2026-05-05 09:15,910.0,917.8,906.6,911.9,0
2026-05-05 10:15,911.35,911.6,903.05,904.9,204245
2026-05-05 11:15,904.6,908.5,904.4,908.2,151781
2026-05-05 12:15,908.0,915.95,907.7,913.7,329996
2026-05-05 13:15,913.7,918.1,911.0,912.45,268454
2026-05-05 14:15,912.35,917.0,910.8,911.85,241269
2026-05-05 15:15,911.4,912.0,909.0,910.7,301995
2026-05-06 09:15,922.8,934.1,922.8,925.35,0
2026-05-06 10:15,925.3,926.95,922.7,923.45,181667
2026-05-06 11:15,923.15,924.95,922.3,923.0,66166
2026-05-06 12:15,923.0,923.95,918.6,920.15,118740
2026-05-06 13:15,920.3,926.9,920.0,926.1,630534
2026-05-06 14:15,926.35,949.0,926.25,946.0,879698
2026-05-06 15:15,946.3,949.65,945.75,948.0,249602
2026-05-07 09:15,949.0,949.0,934.1,940.5,0
2026-05-07 10:15,940.7,944.85,940.15,940.5,92393
2026-05-07 11:15,940.05,947.35,940.05,946.8,211288
2026-05-07 12:15,946.25,951.45,945.2,945.3,230200
2026-05-07 13:15,945.3,947.45,942.2,946.55,112420
2026-05-07 14:15,946.5,949.45,944.95,946.35,366005
2026-05-07 15:15,946.5,951.0,945.75,950.5,427111
2026-05-08 09:15,946.0,948.5,940.5,945.2,0
2026-05-08 10:15,945.65,950.0,943.65,945.1,183984
2026-05-08 11:15,945.1,949.5,942.9,946.65,130928
2026-05-08 12:15,947.15,948.75,945.55,948.5,98917
2026-05-08 13:15,948.25,950.15,946.3,948.3,368349
2026-05-08 14:15,948.3,957.9,947.0,951.3,404137
2026-05-08 15:15,951.05,952.2,948.0,948.0,138999
2026-05-11 09:15,940.0,940.0,922.9,923.35,0
2026-05-11 10:15,923.2,923.2,918.2,921.5,134962
2026-05-11 11:15,921.85,928.9,921.4,926.55,163583
