datetime,open,high,low,close,volume
2026-04-28 09:15,146.15,146.15,144.74,145.79,0
2026-04-28 10:15,145.79,146.0,145.6,145.96,854411
2026-04-28 11:15,145.85,145.89,145.13,145.21,2296337
2026-04-28 12:15,145.22,145.4,144.85,144.88,1067079
2026-04-28 13:15,144.88,145.18,144.74,144.78,1017771
2026-04-28 14:15,144.75,145.59,144.35,145.38,2487027
2026-04-28 15:15,145.37,145.77,145.2,145.74,1226560
2026-04-29 09:15,146.1,147.24,145.6,146.38,0
2026-04-29 10:15,146.38,146.58,145.6,146.25,1308619
2026-04-29 11:15,146.25,147.17,145.83,146.52,1645563
2026-04-29 12:15,146.51,146.81,146.4,146.75,1197051
2026-04-29 13:15,146.73,146.77,145.67,145.85,1003176
2026-04-29 14:15,145.86,145.87,144.13,144.3,3016182
2026-04-29 15:15,144.29,144.79,143.98,144.45,2013953
2026-04-30 09:15,142.2,143.4,141.2,142.35,0
2026-04-30 10:15,142.34,142.65,141.3,141.38,1732510
2026-04-30 11:15,141.37,142.19,141.32,142.19,1167471
2026-04-30 12:15,142.19,142.62,141.93,142.27,1168605
2026-04-30 13:15,142.28,142.38,141.3,141.47,2226523
2026-04-30 14:15,141.47,142.57,141.47,142.51,4348514
2026-04-30 15:15,142.52,142.54,142.05,142.48,2043564
2026-05-04 09:15,143.88,144.23,142.46,143.12,0
2026-05-04 10:15,143.12,143.57,142.83,143.57,1039879
2026-05-04 11:15,143.57,144.09,143.22,143.25,1064851
2026-05-04 12:15,143.26,143.47,142.55,142.67,920993
2026-05-04 13:15,142.67,142.78,142.07,142.57,880348
2026-05-04 14:15,142.59,142.75,142.01,142.15,1560607
2026-05-04 15:15,142.12,142.95,142.06,142.71,970855
2026-05-05 09:15,142.0,142.39,140.76,141.65,0
2026-05-05 10:15,141.71,141.71,140.53,141.0,1184203
2026-05-05 11:15,141.04,141.54,140.51,141.42,769744
2026-05-05 12:15,141.37,142.44,141.32,142.35,952860
2026-05-05 13:15,142.31,142.5,142.08,142.12,765517
2026-05-05 14:15,142.11,142.44,141.96,142.15,1095708
2026-05-05 15:15,142.1,142.52,142.01,142.4,1060290
2026-05-06 09:15,143.58,144.6,143.27,144.08,0
2026-05-06 10:15,144.1,144.13,143.7,143.85,776610
2026-05-06 11:15,143.85,144.24,143.68,144.14,573738
2026-05-06 12:15,144.14,144.41,143.33,143.78,794658
2026-05-06 13:15,143.78,146.84,143.73,146.8,4008082
2026-05-06 14:15,146.75,148.75,146.5,147.88,5819836
2026-05-06 15:15,147.88,148.7,147.87,148.4,1792236
2026-05-07 09:15,149.0,149.27,146.05,146.23,0
2026-05-07 10:15,146.23,146.68,145.75,145.96,1869465
2026-05-07 11:15,145.99,148.21,145.15,145.82,1368630
2026-05-07 12:15,145.83,148.6,145.8,147.49,4427685
2026-05-07 13:15,147.43,147.65,146.86,147.33,1460668
2026-05-07 14:15,147.33,147.37,146.8,146.84,2275819
2026-05-07 15:15,146.85,146.99,146.8,146.93,1471324
2026-05-08 09:15,145.8,146.2,144.74,145.23,0
2026-05-08 10:15,145.23,146.27,145.06,145.48,1274247
2026-05-08 11:15,145.48,145.5,145.05,145.09,738194
2026-05-08 12:15,145.09,145.25,144.65,144.75,1010190
2026-05-08 13:15,144.78,144.97,144.2,144.29,992934
2026-05-08 14:15,144.3,145.37,144.23,144.65,1781053
2026-05-08 15:15,144.67,144.85,144.51,144.83,1045596
2026-05-11 09:15,142.97,142.97,140.57,141.26,0
2026-05-11 10:15,141.27,141.37,140.8,141.31,1068124
2026-05-11 11:15,141.31,141.45,141.05,141.35,565872
2026-05-11 12:15,141.35,141.35,140.82,141.28,765775
2026-05-11 13:15,141.28,141.33,140.94,141.11,775136
2026-05-11 14:15,141.12,141.26,140.29,140.29,2491019
2026-05-11 15:15,140.29,140.3,140.05,140.3,1361908
2026-05-12 09:15,139.32,139.76,137.92,138.7,0
2026-05-12 10:15,138.67,139.06,138.22,138.25,1231560
2026-05-12 11:15,138.21,138.72,138.05,138.14,865472
2026-05-12 12:15,138.14,139.74,138.01,138.85,1572374
2026-05-12 13:15,138.85,139.1,138.06,138.2,926877
2026-05-12 14:15,138.18,138.54,137.51,137.51,2362163
2026-05-12 15:15,137.51,138.05,137.29,138.05,1886495
2026-05-13 09:15,138.04,139.75,137.85,139.2,0
2026-05-13 10:15,139.17,140.1,139.17,139.38,1801006
2026-05-13 11:15,139.4,141.0,139.38,140.82,1561671
2026-05-13 12:15,140.85,141.68,140.0,141.44,2464000
2026-05-13 13:15,141.44,142.36,141.2,142.25,2140372
