datetime,open,high,low,close,volume
2026-04-28 09:15,412.45,414.0,410.25,411.6,0
2026-04-28 10:15,411.5,412.1,409.3,410.3,823679
2026-04-28 11:15,410.35,410.9,408.25,410.0,877211
2026-04-28 12:15,410.0,410.2,407.1,408.0,1049986
2026-04-28 13:15,407.85,408.0,406.1,406.8,619871
2026-04-28 14:15,406.8,408.5,406.15,406.75,1318384
2026-04-28 15:15,406.75,407.0,405.95,407.0,801326
2026-04-29 09:15,408.85,408.85,402.6,407.65,0
2026-04-29 10:15,407.7,409.95,407.1,407.45,973334
2026-04-29 11:15,407.45,408.1,406.25,406.75,767618
2026-04-29 12:15,406.8,406.9,405.85,406.3,690704
2026-04-29 13:15,406.3,407.8,403.05,403.15,3839339
2026-04-29 14:15,403.15,403.8,401.2,402.5,3167827
2026-04-29 15:15,402.45,402.45,399.75,400.0,868753
2026-04-30 09:15,399.0,399.35,394.7,394.85,0
2026-04-30 10:15,394.8,395.75,393.3,395.55,938998
2026-04-30 11:15,395.55,398.6,395.1,398.6,1282399
2026-04-30 12:15,398.6,399.2,397.55,398.95,826703
2026-04-30 13:15,398.95,399.7,397.5,398.1,1135017
2026-04-30 14:15,398.15,400.0,398.1,399.45,1490117
2026-04-30 15:15,399.45,400.0,398.85,400.0,617721
2026-05-04 09:15,401.0,404.75,400.7,401.65,0
2026-05-04 10:15,401.65,402.75,400.8,402.0,803713
2026-05-04 11:15,401.85,403.15,401.1,401.15,476220
2026-05-04 12:15,401.2,401.95,399.05,399.3,584827
2026-05-04 13:15,399.3,399.8,397.25,399.5,1012268
2026-05-04 14:15,399.5,400.25,398.35,400.0,1531972
2026-05-04 15:15,400.0,400.6,400.0,400.05,713882
2026-05-05 09:15,398.85,400.4,397.4,398.95,0
2026-05-05 10:15,398.9,399.65,395.1,396.6,713575
2026-05-05 11:15,396.8,397.2,394.55,395.55,671301
2026-05-05 12:15,395.55,400.0,395.35,399.3,1708429
2026-05-05 13:15,399.4,399.95,398.7,399.1,819966
2026-05-05 14:15,399.25,399.85,398.15,398.45,1508650
2026-05-05 15:15,398.45,399.5,398.35,398.65,487194
2026-05-06 09:15,400.45,402.4,396.9,397.3,0
2026-05-06 10:15,397.35,397.6,395.5,396.0,784209
2026-05-06 11:15,395.95,397.1,394.15,396.95,1578444
2026-05-06 12:15,397.0,397.25,395.75,396.1,875688
2026-05-06 13:15,396.1,398.15,396.0,398.0,973654
2026-05-06 14:15,398.2,399.5,395.3,395.55,3200139
2026-05-06 15:15,395.55,395.9,391.7,393.55,2612922
2026-05-07 09:15,396.9,397.8,393.2,397.4,0
2026-05-07 10:15,397.45,401.25,396.8,401.05,1310558
2026-05-07 11:15,401.1,401.95,394.85,401.2,940819
2026-05-07 12:15,401.15,403.5,400.2,400.65,1242737
2026-05-07 13:15,400.65,400.95,399.0,399.15,1124821
2026-05-07 14:15,399.15,401.15,398.35,400.05,2194134
2026-05-07 15:15,400.05,401.45,399.45,400.0,1025801
2026-05-08 09:15,398.35,400.45,397.9,400.45,0
2026-05-08 10:15,400.3,400.4,399.1,400.0,289279
2026-05-08 11:15,400.0,401.0,399.5,399.8,368029
2026-05-08 12:15,399.8,405.1,399.45,403.5,575162
2026-05-08 13:15,403.55,404.65,401.1,401.6,620533
2026-05-08 14:15,401.45,403.0,401.4,402.15,999907
2026-05-08 15:15,402.15,402.45,401.95,402.25,545534
2026-05-11 09:15,401.6,405.0,400.05,404.0,0
2026-05-11 10:15,403.95,404.25,402.05,402.5,860266
2026-05-11 11:15,402.5,402.5,396.15,397.3,1637871
2026-05-11 12:15,397.3,397.45,395.75,396.85,828513
2026-05-11 13:15,396.85,397.9,396.55,396.75,947054
2026-05-11 14:15,396.9,397.7,392.8,393.0,3524679
2026-05-11 15:15,393.05,393.4,391.0,392.2,1049456
2026-05-12 09:15,392.2,399.85,391.55,399.55,0
2026-05-12 10:15,399.6,399.6,395.7,396.85,1261121
2026-05-12 11:15,396.8,397.9,394.3,394.95,1743195
2026-05-12 12:15,394.8,396.5,394.8,396.3,1047510
2026-05-12 13:15,396.4,397.0,394.5,394.55,1283754
2026-05-12 14:15,394.55,396.15,392.0,392.95,2183445
2026-05-12 15:15,392.95,393.8,392.0,393.55,673605
2026-05-13 09:15,393.1,393.15,386.0,387.25,0
2026-05-13 10:15,387.35,388.8,386.45,388.15,1416411
2026-05-13 11:15,388.1,389.95,387.5,388.1,1009953
2026-05-13 12:15,388.0,392.65,386.5,391.5,2398096
2026-05-13 13:15,391.3,392.7,390.1,390.9,1264644
2026-05-13 14:15,390.9,392.85,389.85,390.7,2303040
2026-05-13 15:15,390.7,390.95,390.1,390.8,1318120
2026-05-14 09:15,392.2,397.7,392.2,394.2,0
2026-05-14 10:15,394.2,395.4,392.25,392.75,672131
2026-05-14 11:15,392.9,398.0,392.65,398.0,1400340
2026-05-14 12:15,398.3,398.55,396.65,397.05,1022496
2026-05-14 13:15,397.05,397.25,396.0,396.5,788866
2026-05-14 14:15,396.5,397.3,395.55,396.15,1447469
2026-05-14 15:15,396.0,397.2,396.0,396.55,782833
2026-05-15 09:15,396.05,396.95,394.0,395.35,0
2026-05-15 10:15,395.3,395.85,393.65,393.85,415027
2026-05-15 11:15,393.85,395.05,393.15,393.45,743116
2026-05-15 12:15,393.45,395.95,392.6,395.9,1031635
2026-05-15 13:15,395.9,397.1,395.6,396.9,1619609
2026-05-15 14:15,396.95,396.95,393.85,395.05,1532932
2026-05-15 15:15,395.05,396.0,394.2,395.75,885500
2026-05-18 09:15,393.85,393.85,387.25,388.5,0
