datetime,open,high,low,close,volume
2026-04-28 09:15,354.5,355.9,352.2,352.55,0
2026-04-28 10:15,352.55,354.95,352.1,354.55,1032742
2026-04-28 11:15,354.55,354.95,350.95,351.25,1140958
2026-04-28 12:15,351.35,351.8,350.2,350.75,548564
2026-04-28 13:15,350.8,351.45,349.45,350.15,573595
2026-04-28 14:15,350.2,352.2,349.5,350.5,1260560
2026-04-28 15:15,350.6,351.4,350.4,350.5,450107
2026-04-29 09:15,354.0,363.5,353.1,360.05,0
2026-04-29 10:15,360.15,360.6,356.4,357.5,1603042
2026-04-29 11:15,357.5,358.5,356.3,358.05,582407
2026-04-29 12:15,358.05,359.05,357.3,357.75,733512
2026-04-29 13:15,357.7,357.95,354.35,355.35,952328
2026-04-29 14:15,355.35,356.25,353.05,353.05,1163025
2026-04-29 15:15,353.1,353.1,351.05,352.45,830607
2026-04-30 09:15,351.0,351.0,343.15,343.35,0
2026-04-30 10:15,343.35,345.0,342.8,343.8,1023927
2026-04-30 11:15,343.7,344.1,339.15,339.4,1575785
2026-04-30 12:15,339.4,339.6,337.7,337.85,1836231
2026-04-30 13:15,337.85,342.25,337.55,340.05,2272545
2026-04-30 14:15,340.05,343.5,339.0,341.2,2279281
2026-04-30 15:15,341.25,342.7,341.05,342.2,1116407
2026-05-04 09:15,339.6,345.9,339.25,342.6,0
2026-05-04 10:15,342.7,344.0,341.45,343.95,905119
2026-05-04 11:15,344.0,344.8,341.95,342.2,633478
2026-05-04 12:15,342.15,344.15,341.95,343.95,482688
2026-05-04 13:15,343.95,344.2,341.7,343.9,524642
2026-05-04 14:15,344.0,344.55,342.45,343.3,791601
2026-05-04 15:15,343.3,343.45,342.25,343.05,596110
2026-05-05 09:15,341.5,344.0,339.0,341.35,0
2026-05-05 10:15,341.3,342.35,340.2,340.5,597754
2026-05-05 11:15,340.4,340.95,339.45,340.7,560886
2026-05-05 12:15,340.85,343.95,340.85,343.3,904864
2026-05-05 13:15,343.0,343.05,341.15,341.3,785988
2026-05-05 14:15,341.25,342.15,339.9,340.05,1168716
2026-05-05 15:15,340.2,340.65,339.9,340.6,631964
2026-05-06 09:15,346.85,347.9,344.5,346.45,0
2026-05-06 10:15,346.35,346.85,343.9,344.65,743909
2026-05-06 11:15,344.65,346.45,344.65,345.85,486331
2026-05-06 12:15,345.85,346.0,344.25,345.7,527376
2026-05-06 13:15,345.6,352.85,345.6,351.45,2960779
2026-05-06 14:15,351.45,358.65,351.4,358.0,3605290
2026-05-06 15:15,357.95,358.95,357.9,358.15,974317
2026-05-07 09:15,360.35,361.2,357.3,357.65,0
2026-05-07 10:15,357.9,358.95,357.6,357.95,680214
2026-05-07 11:15,357.95,359.45,357.2,358.85,660767
2026-05-07 12:15,359.05,361.3,358.2,360.75,1047531
2026-05-07 13:15,360.8,360.85,359.0,360.25,822551
2026-05-07 14:15,360.1,361.0,358.9,359.15,1018212
2026-05-07 15:15,359.1,359.65,358.6,358.95,734710
2026-05-08 09:15,356.1,356.9,353.7,355.05,0
2026-05-08 10:15,355.05,356.35,354.6,355.2,421849
2026-05-08 11:15,355.3,356.2,354.15,355.35,668269
2026-05-08 12:15,355.45,357.35,354.1,354.2,627314
2026-05-08 13:15,354.2,356.3,354.1,355.8,475200
2026-05-08 14:15,355.7,357.3,355.25,355.5,693569
2026-05-08 15:15,355.7,355.8,355.0,355.5,455339
2026-05-11 09:15,351.8,352.15,348.75,349.65,0
2026-05-11 10:15,349.55,349.8,347.0,348.75,631487
2026-05-11 11:15,348.85,349.3,348.0,348.65,454051
2026-05-11 12:15,348.7,348.85,347.0,348.0,314483
2026-05-11 13:15,348.0,348.6,347.2,347.6,326615
2026-05-11 14:15,347.5,348.65,346.0,346.05,740166
2026-05-11 15:15,346.0,346.1,345.25,345.7,469068
2026-05-12 09:15,343.45,345.7,339.25,342.25,0
2026-05-12 10:15,342.35,343.0,340.55,340.95,550164
2026-05-12 11:15,340.95,341.85,340.0,340.0,425273
2026-05-12 12:15,340.05,340.5,338.2,338.5,587292
2026-05-12 13:15,338.5,339.3,337.25,337.35,615711
2026-05-12 14:15,337.4,338.45,336.05,336.65,1239945
2026-05-12 15:15,336.55,338.0,336.55,337.95,579977
2026-05-13 09:15,336.45,340.0,335.15,339.75,0
2026-05-13 10:15,339.75,342.0,339.7,340.6,719621
2026-05-13 11:15,340.65,342.25,339.5,342.15,482078
2026-05-13 12:15,342.1,342.25,339.05,340.45,567119
2026-05-13 13:15,340.35,340.85,339.0,339.65,634306
2026-05-13 14:15,339.95,339.95,336.1,337.5,1230780
2026-05-13 15:15,337.55,337.85,335.95,336.9,705275
2026-05-14 09:15,340.0,340.55,333.7,335.8,0
2026-05-14 10:15,335.95,336.85,334.0,334.8,1132993
2026-05-14 11:15,334.9,336.65,334.85,336.0,1015450
2026-05-14 12:15,336.0,338.3,336.0,337.5,969442
2026-05-14 13:15,337.45,338.85,337.05,338.7,990066
2026-05-14 14:15,338.7,339.95,337.65,338.9,1511560
2026-05-14 15:15,338.9,339.3,338.05,338.25,560523
2026-05-15 09:15,353.0,366.15,352.0,352.45,11258306
2026-05-15 10:15,352.4,358.3,352.3,355.75,5801898
2026-05-15 11:15,355.75,362.3,352.75,360.35,8513776
2026-05-15 12:15,360.35,364.4,358.7,362.45,6841343
2026-05-15 13:15,362.55,362.65,357.75,359.15,4278985
2026-05-15 14:15,359.0,359.65,356.0,356.9,4854328
2026-05-15 15:15,356.9,356.95,355.75,356.0,2167317
2026-05-18 09:15,354.55,358.25,351.4,353.0,0
2026-05-18 10:15,352.95,355.25,351.65,354.55,1445545
2026-05-18 11:15,354.65,355.15,351.2,351.3,1154572
2026-05-18 12:15,351.4,353.2,351.25,351.7,990553
2026-05-18 13:15,351.7,352.8,351.2,352.1,965816
2026-05-18 14:15,351.85,353.8,351.35,353.3,1487715
2026-05-18 15:15,353.2,353.85,352.75,352.95,773386
2026-05-19 09:15,355.8,360.9,352.9,360.45,0
2026-05-19 10:15,360.45,363.9,360.35,363.0,2974110
