datetime,open,high,low,close,volume
2026-04-28 09:15,204.69,205.68,204.13,205.34,0
2026-04-28 10:15,205.34,205.42,204.5,204.64,3151765
2026-04-28 11:15,204.65,204.81,204.0,204.49,2764988
2026-04-28 12:15,204.44,204.61,203.12,203.39,3013882
2026-04-28 13:15,203.39,203.4,202.0,202.17,2869780
2026-04-28 14:15,202.09,202.77,201.55,201.6,4432794
2026-04-28 15:15,201.57,201.7,201.03,201.63,1778173
2026-04-29 09:15,201.97,203.59,201.97,203.01,0
2026-04-29 10:15,203.05,203.08,202.3,202.6,1893965
2026-04-29 11:15,202.54,202.62,201.74,201.99,1964636
2026-04-29 12:15,201.9,202.21,201.76,201.82,1334467
2026-04-29 13:15,201.9,202.05,200.8,200.98,2252682
2026-04-29 14:15,200.98,201.24,200.51,200.52,2563280
2026-04-29 15:15,200.54,201.0,200.31,200.97,2095236
2026-04-30 09:15,200.74,202.14,200.09,201.0,0
2026-04-30 10:15,200.98,201.1,200.25,200.34,1432913
2026-04-30 11:15,200.29,201.39,200.0,201.37,2531588
2026-04-30 12:15,201.4,202.14,201.15,201.6,1505914
2026-04-30 13:15,201.6,202.05,201.48,201.89,1192857
2026-04-30 14:15,201.83,202.01,200.37,200.48,3073069
2026-04-30 15:15,200.41,201.2,200.3,201.05,1918878
2026-05-04 09:15,202.5,203.37,201.1,201.24,0
2026-05-04 10:15,201.22,201.6,200.52,201.58,1104739
2026-05-04 11:15,201.57,201.6,200.64,200.64,869152
2026-05-04 12:15,200.64,200.94,200.55,200.58,746390
2026-05-04 13:15,200.63,201.0,200.1,200.94,1194598
2026-05-04 14:15,200.94,201.15,200.31,200.84,1561045
2026-05-04 15:15,200.84,200.95,200.6,200.91,681578
2026-05-05 09:15,200.03,202.19,200.0,200.9,0
2026-05-05 10:15,200.83,200.86,200.37,200.41,1016865
2026-05-05 11:15,200.49,200.6,199.7,200.04,1655595
2026-05-05 12:15,200.03,200.22,199.81,200.1,790408
2026-05-05 13:15,200.1,200.2,199.8,199.9,830177
2026-05-05 14:15,199.96,200.16,199.6,199.83,1708840
2026-05-05 15:15,199.83,200.16,199.66,200.08,1119303
2026-05-06 09:15,200.8,201.06,199.9,200.29,0
2026-05-06 10:15,200.32,200.33,199.64,199.8,1172847
2026-05-06 11:15,199.8,200.15,199.8,199.87,903430
2026-05-06 12:15,199.86,199.86,198.28,198.8,2593944
2026-05-06 13:15,198.87,199.0,198.31,198.8,1309224
2026-05-06 14:15,198.82,199.64,198.76,199.02,2935290
2026-05-06 15:15,199.06,199.2,198.95,199.2,1729104
2026-05-07 09:15,199.69,200.28,198.09,198.35,0
2026-05-07 10:15,198.3,198.75,198.16,198.2,1647767
2026-05-07 11:15,198.2,199.12,197.82,197.99,2721462
2026-05-07 12:15,197.92,198.19,197.75,197.87,2624628
2026-05-07 13:15,197.86,197.92,197.65,197.69,1943339
2026-05-07 14:15,197.7,197.76,197.25,197.41,3900400
2026-05-07 15:15,197.4,197.47,197.24,197.39,2118223
2026-05-08 09:15,198.0,198.89,196.7,196.9,0
2026-05-08 10:15,196.88,197.85,196.88,197.29,2700418
2026-05-08 11:15,197.3,197.56,196.95,197.51,1070762
2026-05-08 12:15,197.53,197.81,197.12,197.75,1240001
2026-05-08 13:15,197.76,198.15,197.37,197.76,1591271
2026-05-08 14:15,197.76,198.35,197.47,197.98,2326543
2026-05-08 15:15,197.96,198.04,197.8,197.8,1195362
2026-05-11 09:15,197.8,198.22,196.76,197.13,0
2026-05-11 10:15,197.16,198.12,196.9,197.85,1054884
2026-05-11 11:15,197.87,197.95,197.4,197.42,700450
2026-05-11 12:15,197.42,198.05,197.2,197.93,849905
2026-05-11 13:15,197.89,198.04,197.35,197.88,830152
2026-05-11 14:15,197.82,197.94,196.6,196.72,2152528
2026-05-11 15:15,196.71,196.92,196.24,196.24,1394705
2026-05-12 09:15,196.1,196.1,191.54,191.76,0
2026-05-12 10:15,191.74,191.95,190.35,190.99,4731367
2026-05-12 11:15,190.98,191.4,190.53,190.6,2221598
2026-05-12 12:15,190.62,191.09,190.25,191.03,2297546
2026-05-12 13:15,191.05,191.15,190.05,190.15,2244761
2026-05-12 14:15,190.18,190.6,189.14,189.24,4965306
2026-05-12 15:15,189.25,190.36,189.23,190.3,2389668
2026-05-13 09:15,190.67,191.26,187.39,188.96,0
2026-05-13 10:15,188.98,189.79,187.5,187.87,3046626
2026-05-13 11:15,187.89,189.38,187.8,189.31,1946530
2026-05-13 12:15,189.31,189.31,187.97,188.57,1493176
2026-05-13 13:15,188.6,188.7,188.11,188.62,1265113
2026-05-13 14:15,188.69,188.7,187.61,187.88,3066251
2026-05-13 15:15,187.85,188.0,187.61,188.0,1532812
2026-05-14 09:15,188.44,188.97,187.09,187.7,0
2026-05-14 10:15,187.67,188.48,187.32,187.32,2006494
2026-05-14 11:15,187.38,187.99,187.12,187.5,1833699
2026-05-14 12:15,187.5,188.17,187.1,188.13,1856728
2026-05-14 13:15,188.08,189.89,188.06,189.79,2292941
2026-05-14 14:15,189.79,190.15,188.07,188.23,3270545
2026-05-14 15:15,188.23,188.44,188.0,188.15,1430199
2026-05-15 09:15,189.0,191.9,189.0,190.95,0
2026-05-15 10:15,190.95,191.46,190.0,190.16,1828232
2026-05-15 11:15,190.16,190.59,189.91,190.31,1469018
2026-05-15 12:15,190.33,190.65,189.9,190.65,1010094
2026-05-15 13:15,190.65,190.8,189.77,189.92,1573351
